MANUFACTURER_NAME	MFG_CODE	PART_NUMBER	PRICE	MSRP	MAP_PRICE	SERIALIZED	TANGIBLE	WEIGHT	COUNTRY_OF_ORIGIN	PRODUCT_DESCRIPTION	CATEGORY	IN_STOCK	LOC_01	LOC_02	LOC_03	LOC_04	LOC_05	LOC_06	LOC_07	LOC_08	LOC_09	LOC_10	ORG
MAG-TEK	MAG	22350300	25.15	30.00		N	Y	0.15	TW	MAGTEK, USB CABLE (6 FOOT); EXCELLA STX TO PC OR IMAGESAFE TO PC	MAG.HARDWARE.MAGTEK EXCELLA..	0	0	0									121
MAG-TEK	MAG	22350302	25.61	31.00		N	Y	1	US	MAGTEK, ETHERNET CABLE (10 FOOT); EXCELLA STX CABLE	MAG.HARDWARE.MAGTEK EXCELLA..	0	0	0									121
MAG-TEK	MAG	22517583	25.61	31.00		N	Y	0.22	US	MAGTEK, FWR USB; 9M MINI DIN USB A PLUG; 6' MT GRAY	MAG.HARDWARE.MAGTEK MINI MICR..	0	0	0									121
STAR MICRONICS	SRM	37981090	18.32	23.50	21.00	N	Y	1	CN	STAR MICRONICS, SPARE PART, PAPER GUIDE A UNIT MP5, MP500LL, SP500, SP500VFL	SRM.PARTS.SPARE PARTS..	0	0	0									121
MAG-TEK	MAG	22350001	838.04	1161.00		Y	Y	7.8	US	MAGTEK, EXCELLA STX (COLOR SCANNER); USB; DARK GRAY; MSR; FRONT/BACK PRINTER; INCLUDES POWER SUPPLY & CORD (PN 64300107 + PN 71100001) & USB-A CABLE (PN 22350300)	MAG.HARDWARE.MAGTEK EXCELLA..	9	9	0									121
MAG-TEK	MAG	22350005	664.26	1067.00		Y	Y	7.8	US	MAGTEK, EXCELLA STX (BLK & WHT SCANNER); USB; DARK GRAY; MSR; FRONT/BACK PRINTER; INCLUDES POWER SUPPLY & CORD (PN 64300107 + PN 71100001) & USB-A CABLE (PN 22350300)	MAG.HARDWARE.MAGTEK EXCELLA..	0	0	0									121
MAG-TEK	MAG	22350009	575.08	990.00		Y	Y	7.7	US	MAGTEK, EXCELLA STX (BLK & WHT SCANNER); USB; DARK GRAY; MSR; REAR PRINTER; INCLUDES POWER SUPPLY & CORD (PN 64300107 + PN 71100001) & USB-A CABLE (PN 22350300)	MAG.HARDWARE.MAGTEK EXCELLA..	8	8	0									121
MAG-TEK	MAG	22350010	691.70	1144.00		Y	Y	7.52	US	MAGTEK, EXCELLA STX (COLOR SCANNER); USB; DARK GRAY; MSR; INCLUDES POWER SUPPLY & CORD (PN 64300107 + PN 71100001) & USB-A CABLE (PN 22350300)	MAG.HARDWARE.MAGTEK EXCELLA..	0	0	0									121
NEWELL BRANDS DISTRIBUTION	DYM	30324	16.72	34.39		N	Y	0.52	US	DYMO, CONSUMABLES, DIRECT THERMAL MULTI PURPOSE PAPER LABELS, 2.125"(54MM) X 2.75"(70MM), WHITE,FOR USE IN LABELWRITER PRINTERS, 320 PER ROLL, 1 ROLL PER CASE, PRICED PER CASE	DYM.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
NEWELL BRANDS DISTRIBUTION	DYM	30334	35.01	65.38		N	Y	0.8	US	DYMO, CONSUMABLES, DIRECT THERMAL PAPER LABEL, 2.25"(56MM) X 1.25"(31MM), WHITE, PERMANENT ADHESIVE, FOR USE IN LABELWRITER PRINTERS, 1,000 PER ROLL, 1 ROLL PER CASE, PRICED PER CASE, MOQ 10	DYM.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	5	5	0									121
HARVARD BATTERIES	HAR	00-864-00-B	16.90	29.00		N	Y	1		HARVARD BATTERY, NCNR, BATTERY PACK,1650 MAH FOR FALCON 32X,33X,34X	ZOT.HARDWARE.ACCESSORIES.BATTERIES.	0	0	0									121
DATALOGIC SCANNING	DLS	00-981-015	299.23	595.00		N	Y	1	VN	DATALOGIC ADC, 4-SLOT DOCK, 31X/32X FALCON REQ. PWR#7-0612 + CBL00-884-32	DLS.HARDWARE.ACCESSORIES.CHARGERS.	0	0	0									121
DATALOGIC SCANNING	DLS	931351093	5569.00	5569.00		Y	Y	1	VI	DATALOGIC AUTOMATION, SCANNER, DS6400-100-010 DYN.F M, LINEAR, M/S, NCNR	DLS.HARDWARE.IA..	0	0	0									121
DATALOGIC SCANNING	DLS	931351097	6156.00	6156.00		Y	Y	1	VI	DATALOGIC AUTOMATION, SCANNER, DS6400-100-012, DYN. F., M LIN, ETHERNET, NCNR	DLS.HARDWARE.IA..	0	0	0									121
DATALOGIC SCANNING	DLS	931351107	7552.00	7552.00		Y	Y	1	VI	DATALOGIC AUTOMATION, SCANNER, DS6400-105-012, FIXED LINE SCNNR, OM, ETHERNET, DYN.F., NCNR	DLS.HARDWARE.IA..	0	0	0									121
DATALOGIC SCANNING	DLS	939101050	904.00	904.00		Y	Y	1		DATALOGIC AUTOMATION, SCANNER, DS1100-2101, HI-RES RS232, RS485, LIN, 90 DEGREE, 5VDC, NCNR	DLS.HARDWARE.IA..	0	0	0									121
WASP BARCODE	WSP	633808181024	39.18	49.00		Y	Y	1.25	US	WASP - WLR8900/WDI4100/WWS500/WWS560 SERIES STAND	WSP.HARDWARE.ACCESSORIES..	71	71	0									121
COGNITIVE LLC	COG	03-02-1524	171.79	276.31		N	Y	23	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 4.25" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-02-1544	78.11	125.61		N	Y	12.35	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, THERMAL TRANSFER, 1.15" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-02-1545	98.59	145.20		N	Y	12.6	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, DIRECT THERMAL, 1.15" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	6	6	0									121
COGNITIVE LLC	COG	03-02-1639	117.62	173.11		N	Y	11.9	US	COGNITIVE, CONSUMABLES, BAR SENSORED 7.5 MIL PAPER TAG, DIRECT THERMAL, 2.4" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1646	175.97	270.72		N	Y	11.85	US	COGNITIVE, CONSUMABLES, BAR SENSORED 7.5 MIL PAPER TAG, DIRECT THERMAL, 2.4" X 2", 1.5" CORE, 4.25 INCH OD, PERFORATED, 12 ROLL PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1647	286.60	460.83		N	Y	12.4	US	COGNITIVE, CONSUMABLES, GAP SENSORED POLYPROPYLENE LABEL, DIRECT THERMAL, 2.4" X 1", 1.5" CORE, 4.25 INCH OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-02-1648	253.97	374.00		N	Y	11.91	US	COGNITIVE, CONSUMABLES, GAP SENSORED POLYPROPYLENE LABEL, DIRECT THERMAL, 2.4" X 0.75", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLL PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1649	257.04	383.80		N	Y	9.9	US	COGNITIVE, CONSUMABLES, BAR SENSORED POLYPROPYLENE LABEL, DIRECT THERMAL, 2" X 0.56", 1.5" CORE, 4.25" OD, NOT PERFORATED, 12 ROLL PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-02-1651	136.66	201.29		N	Y	13.9	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, DT, 2.4" X 1", 1.5" CORE, 4.25" OD, NOT PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1656	85.33	125.61		N	Y	12.02	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, THERMAL TRANSFER, 2.3" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	4	4	0									121
THERMAMARK	TMK	03-02-1656-B	23.08	23.08		N	Y	0.97	US	THERMAMARK, CONSUMABLES, BAR SENSORED PAPER LABEL, THERMAL TRANSFER, 2.3" X 1", 1.5" CORE, 4.25" OD, 1685 LABELS PER ROLL, PERFORATED, 12 ROLLS PER CASE, PRICED PER ROLL, 03-02-1656	TMK.CONSUMABLES.DESKTOP THERMAL TRANSFER.LABEL PAPER.0-2" PERFORA	0	0	0									121
COGNITIVE LLC	COG	03-02-1657	139.31	205.19		N	Y	21.55	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, THERMAL TRANSFER, 4.25" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1659	357.24	549.60		N	Y	23.35	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, THERMAL TRANSFER, 4.25" X 3", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1660	697.16	1072.56		N	Y	22.6	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, THERMAL TRANSFER, 4.25" X 6", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1661	189.54	279.13		N	Y	12.3	US	COGNITIVE, CONSUMABLES, BAR SENSORED, PAPER LABEL, THERMAL TRANSFER, 2.4" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1730	237.43	365.28		N	Y	13.4	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, THERMAL TRANSFER, 2.4" X 3", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1731	91.11	146.54		N	Y	11.95	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, THERMAL TRANSFER, 1.15" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
THERMAMARK	TMK	03-02-1731-B	16.34	9.86		N	Y	1	US	THERMAMARK, CONSUMABLES, GAP SENSORED PAPER LABEL, THERMAL TRANSFER, 1.15" X 1", 1.5" CORE, 4.25" OD, 2 UP, 3370 LABELS PER ROLL, PERFORATED, 12 ROLLS PER CASE, PRICED PER ROLL, OEM 03-02-1731	TMK.CONSUMABLES.DESKTOP THERMAL TRANSFER.LABEL PAPER.0-2" PERFORA	0	0	0									121
COGNITIVE LLC	COG	03-02-1733	214.19	315.36		N	Y	12.5	US	COGNITIVE, CONSUMABLES, GAP SENSORED POLYPROPYLENE LABEL, THERMAL TRANSFER, 2.4" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
THERMAMARK	TMK	03-02-1733-B	35.13	59.00		N	Y	1.3	US	THERMAMARK, CONSUMABLES, CUSTOM, PRICE SUBJECT TO CHANGE, GAP SENSORED POLYPROPYLENE LABEL, THERMAL TRANSFER, 2.4" X 1", 1.5" CORE, 4.25" OD, 1685 LABELS PER ROLL, PERFORATED, 12 ROLLS PER CASE, PRICE	TMK.CONSUMABLES.DESKTOP THERMAL TRANSFER.LABEL POLY.0-2" PERFORAT	0	0	0									121
COGNITIVE LLC	COG	03-02-1764	151.63	223.30		N	Y	12.89	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 2.4"X 1", 1.5" CORE, 4.25 INCH OD, REMOVABLE ADHESIVE, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	20	20	0									121
THERMAMARK	TMK	03-02-1764-B	21.67	16.72		N	Y	1	US	THERMAMARK, CONSUMABLES, CUSTOM, GAP SENSORED REMOVABLE ADHESIVE PAPER LABEL, DIRECT THERMAL, 2.4" X 1", 1.5" CORE, 4.25" OD, 1685 LABELS PER ROLL, PERFORATED, 12 ROLLS PER CASE, PRICED PER ROLL, OEM	TMK.CONSUMABLES.DESKTOP DIRECT THERMAL.LABEL PAPER.0-2" PERFORATE	0	0	0									121
COGNITIVE LLC	COG	03-02-1785	118.56	174.45		N	Y	11.4	US	COGNITIVE, CONSUMABLES, NOTCH SENSORED 7.5 MIL PAPER TAG, DIRECT THERMAL, 2.375" X 1", 1.5" CORE, 4.25 INCH OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1786	90.25	145.20		N	Y	12.05	US	COGNITIVE, CONSUMABLES, NOTCH SENSORED 7 MIL PAPER TAG, THERMAL TRANSFER, 2.4" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1797	208.57	307.04		N	Y	9.75	US	COGNITIVE, CONSUMABLES, GAP SENSORED POLYPROPYLENE LABEL, DIRECT THERMAL, 2" X 0.56", 1.5" CORE, 4.25 INCH OD, NOT PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	1	1	0									121
COGNITIVE LLC	COG	03-02-1803	614.95	800.16		N	Y	9.21	US	COGNITIVE, CONSUMABLES, GAP SENSORED POLYPROPYLENE LABEL, THERMAL TRANSFER, 2" X 0.56", 1.5" CORE, 4.25" OD, NOT PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1820	131.95	212.16		Y	Y	13.06	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 2.4" X 2", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
THERMAMARK	TMK	03-02-1820-B	21.67	33.34		N	Y	1.06	US	THERMAMARK,CUSTOM, PRICING SUBJECT TO CHANGE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 2.4" X 2", 1.5" CORE, 4.25" OD, 914 LABELS PER ROLL, PERFORATED, 12 ROLLS PER CASE, PRICED PER ROLL	TMK.CONSUMABLES.DESKTOP DIRECT THERMAL.LABEL PAPER.0-2" PERFORATE	0	0	0									121
COGNITIVE LLC	COG	03-02-1821	142.27	209.35		N	Y	17	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 3" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1823	119.80	184.29		N	Y	1	US	COGNITIVE, 2.40625" X 2" TT AT PERM PERF, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1824	125.11	184.25		N	Y	15.6	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, THERMAL TRANSFER, 2.4" X 2", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1825	117.62	173.11		N	Y	3.94	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, THERMAL TRANSFER, 3" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-89-1013	123.24	189.60		N	Y	12.35	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, THERMAL TRANSFER, 2.3" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-89-1000	123.24	181.42		N	Y	12.15	US	COGNITIVE, CONSUMABLES, BAR SENSORED 7.5 MIL PAPER TAG, DIRECT THERMAL, 2.4" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-89-1002	201.35	323.81		N	Y	12.14	US	COGNITIVE, CONSUMABLES, BAR SENSORED POLYPROPYLENE LABEL, DIRECT THERMAL, 2.4" X 0.75", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-89-1005	96.25	154.83		N	Y	12.81	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, DIRECT THERMAL, 2.4" X 1", 1.5" CORE, 4.25" OD, BUTTERFLY CUT, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-89-1006	98.59	145.20		N	Y	12.35	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, DIRECT THERMAL, 2.3" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
THERMAMARK	TMK	03-89-1006-B	22.04	33.90		N	Y	0.99	US	THERMAMARK, CONSUMABLES, BAR SENSORED PAPER LABEL, DIRECT THERMAL, 2.3" X 1", 1.5" CORE, 4.25" OD, 1685 LABELS PER ROLL, PERFORATED, 12 ROLLS PER CASE, PRICED PER ROLL, OEM 03-89-1006	TMK.CONSUMABLES.DESKTOP DIRECT THERMAL.LABEL PAPER.0-2" PERFORATE	0	0	0									121
COGNITIVE LLC	COG	03-90-1054	234.00	360.00		N	Y	23.55	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, DIRECT THERMAL, 4.25" X 6", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-90-1045	154.51	212.16		N	Y	12.55	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, DIRECT THERMAL, 1.2" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	0	0	0									121
COGNITIVE LLC	COG	03-02-1897	140.66	226.12		N	Y	12.56	TW	COGNITIVE, CONSUMABLES, BAR SENSORED REMOVABLE ADHESIVE PAPER LABEL, DIRECT THERMAL, 2.4" X 1", 1.5" CORE, 4.25 INCH OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA..	4	4	0									121
COGNITIVE LLC	COG	03-02-1898	151.63	223.30		N	Y	12.11	US	COGNITIVE, CONSUMABLES, GAP SENSORED REMOVABLE ADHESIVE PAPER LABEL, DIRECT THERMAL, 1.15" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-02-1826	223.24	343.44		N	Y	22.3	US	COGNITIVE, CONSUMABLES, DIRECT THERMAL PAPER LABEL, 4" X 2", 1.5 " CORE, 4.25 " OD, WOUND IN, FOR USE IN COGNITIVE BLASTER / DEL SOL / SOLUS PRINTERS, GAP AND PERF, 940 LPR, 12 RPC, PRICED PER ROLL	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-02-1828	158.34	233.10		N	Y	21.9	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 4 INCH X 2 INCH, 1.5 INCH CORE, 4.25 INCH OD, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-02-1867	192.78	324.00		N	Y	11.62	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, THERMAL TRANSFER, 4" X 6", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-02-1879	118.56	174.45		N	Y	12.75	US	COGNITIVE, CONSUMABLES, DIRECT THERMAL PAPER LABEL, 2.4"X 1", 1.5" CORE, 4.25" OD, WOUND IN, FOR USE IN COGNITIVE BARCODE BLAZER PRINTERS, GAP AND PERF, BLACK SENSING MARKS, REMOVABLE ADHESIVE, 1685 L	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
MAG-TEK	MAG	02530001	2.78	5.00		N	Y	1	US	MAGTEK, PROGRAM CHECK FOR MINI MICR, QIKTRIP CONFIG, PACK OF 10	MAG.HARDWARE.MAGTEK MINI MICR..	0	0	0									121
COGNITIVE LLC	COG	03-02-1519	88.54	142.38		N	Y	12.31	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 2.3" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	29	29	0									121
COGNITIVE LLC	COG	03-02-1520	96.72	142.38		N	Y	12.74	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 1.15 INCH X 1 INCH, 1.5 INCH CORE, 4.25 INCH OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	16	16	0									121
COGNITIVE LLC	COG	03-02-1521	245.54	377.76		N	Y	7.05	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 2.4" X 3", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	03-02-1522	840.53	1293.12		N	Y	1	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 4.25" X 6.5", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
VERIFONE INC	VER	03018-02	8.96	14.44		N	Y	1		VERIFONE 2 METER 9 PIN ECR INTERFACE RS232	VER.HARDWARE.CABLES.OEM CABLES.	0	0	0									121
COGNITIVE LLC	COG	03-02-1368	174.10	220.48		N	Y	10.85	US	COGNITIVE, CONSUMABLES, BAR SENSORED PAPER LABEL, DIRECT THERMAL, 2" X 0.56", 1.5" CORE, 4.25" OD,  PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
SYSTEM	BSP	116-010	12.43	24.85		N	Y	0.71	VN	SYSTEM, IEEE PARALLEL CABLE, 10', DB25M-CENT36M, PCC-PR14010	BSP.HARDWARE.CABLES.THIRD PARTY CABLES.	0	0	0									121
ZEBRA ENTERPRISE	MOT	11-66553-06R	33.92	49.57		N	Y	0.12	US	ZEBRA EVM/DCS, WALL MOUNT STAND, DS670X AND LS2208, BLACK	MOT.HARDWARE.ACCESSORIES.BRACKET.	0	0	0									121
COGNITIVE LLC	COG	04-00-0041-01	11.90	20.00		N	Y	0.37	US	COGNITIVE LLC, CONSUMABLES, WAX RIBBON, 4.25" X 459', C-SERIES/DEL SOL LX COMPATIBLE, 12 ROLLS PER CASE, PRICED PER ROLL	COG.CONSUMABLES.OEM MEDIA.RIBBONS.DESKTOP	28	28	0									121
COGNITIVE LLC	COG	04-00-0041-02	23.80	40.00		N	Y	0.34	US	COGNITIVE LLC, CONSUMABLES, PREMIUM RESIN RIBBON, 4.25" X 459', C-SERIES/DEL SOL LX COMPATIBLE, 12 ROLLS PER CASE, PRICED PER ROLL	COG.CONSUMABLES.OEM MEDIA.RIBBONS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	04-00-0041-03	14.28	24.00		N	Y	0.35	US	COGNITIVE, CONSUMABLES, WAX/RESIN RIBBON, 4.25" X 459', C-SERIES/DEL SOL LX COMPATIBLE, 12 ROLLS PER CASE, PRICED PER ROLL	COG.CONSUMABLES.OEM MEDIA.RIBBONS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	04-00-0028-01	8.33	14.00		N	Y	0.23	US	COGNITIVE, CONSUMABLES, WAX RIBBON, 4.25" X 263', DLX/ADVANTAGE LX/BLASTER COMPATIBLE, 12 ROLLS PER CASE, PRICED PER ROLL	COG.CONSUMABLES.OEM MEDIA.RIBBONS.DESKTOP	0	0	0									121
COGNITIVE LLC	COG	04-00-0028-03	11.90	20.00		N	Y	0.2	US	COGNITIVE LLC, CONSUMABLES, PREMIUM RESIN RIBBON, 4.25" X 240', DLX/ADVANTAGE LX/BLASTER COMPATIBLE, 12 ROLLS PER CASE, PRICED PER ROLL	COG.CONSUMABLES.OEM MEDIA.RIBBONS.DESKTOP	1	1	0									121
COGNITIVE LLC	COG	04-00-0028-04	4.76	8.00		N	Y	0.15	US	COGNITIVE LLC,CONSUMABLES, WAX RIBBON, 2.4" ON 4" CORE" X 263', 4" OD, DLX/ADVANTAGE LX/BLASTER COMPATIBLE, 12 ROLLS PER CASE, PRICED PER ROLL	COG.CONSUMABLES.OEM MEDIA.RIBBONS.DESKTOP	42	42	0									121
COGNITIVE LLC	COG	04-00-0028-06	8.33	14.00		N	Y	0.1	US	COGNITIVE LLC, CONSUMABLES, PREMIUM RESIN RIBBON, 2.4 " ON 4" CORE" X 263', 4" OD, DLX/ADVANTAGE LX/BLASTER COMPATIBLE, 12 ROLLS PER CASE, PRICED PER ROLL	COG.CONSUMABLES.OEM MEDIA.RIBBONS.DESKTOP	0	0	0									121
