MANUFACTURER_NAME	MFG_CODE	PART_NUMBER	PRICE	MSRP	MAP_PRICE	SERIALIZED	TANGIBLE	WEIGHT	COUNTRY_OF_ORIGIN	PRODUCT_DESCRIPTION	CATEGORY	IN_STOCK	LOC_01	LOC_02	LOC_03	LOC_04	LOC_05	LOC_06	LOC_07	LOC_08	LOC_09	LOC_10	ORG
HONEYWELL SERVICE	HSV	SVCREPLACE-PRN5	114.94	174.15	174.15	N	N	1	US	HONEYWELL, SERVICE, ADDON, EDGE SERVICE, DEVICE REPLACEMENT, PRINTER, 5 YEAR	HWA.SERVICES.EDGE ADDON PRINT..	0	0	0									121
HONEYWELL SERVICE	HSV	SVC8650-SP1R	249.11	377.44	377.44	N	N	1	US	HONEYWELL, SERVICE, 8650, EDGE SERVICE, PLATINUM, 2 DAY, 5 YEAR, RENEWAL	HWA.SERVICES.EDGE RENEWAL SCAN PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVC8650-SP3N	230.76	349.63	349.63	N	N	1	US	HONEYWELL, SERVICE, 8650, EDGE SERVICE, PLATINUM, 2 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW SCAN PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVC8670-SG1R	89.17	135.10	135.10	N	N	1	US	HONEYWELL, SERVICE, 8670, EDGE SERVICE, GOLD, 5 DAY, 1 YEAR, RENEWAL	HWA.SERVICES.EDGE RENEWAL SCAN GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVC8670-SP1R	100.38	152.09	152.09	N	N	1	US	HONEYWELL, 8670, EDGE SERVICE, PLATINUM, 2 DAY, 1 YEAR, RENEWAL	HWA.SERVICES.EDGE RENEWAL SCAN PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCH4408-SG5N	1216.99	1843.93	1843.9	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, GOLD, 5 DAY, 5 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCH4408-SP3N	1028.60	1558.48	1558.4	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, PLATINUM, 2 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCH4408-SP5N	1844.83	2795.19	2795.1	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, PLATINUM, 2 DAY, 5 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCH4604-SG3N	816.23	1236.71	1236.7	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, GOLD, 5 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCH4604-SG5N	1463.33	2217.16	2217.1	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, GOLD, 5 DAY, 5 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT GOLD..	0	0	0									121
