Item Description,Model #,Qty,Department,Product Type,Subcategory,Category,Retail,Ext. Retail,Brand,Weight,Ext. Weight,UPC
1012 sq. in. Competition Pro Offset Charcoal Grill or Wood Smoker in Black,8125,1,Outdoors,Outdoor Cooking,Grills,OUTDOOR SEASONAL,399,399,Char-Griller,140,140,"789792081250,"
"""6-Burner BBQ Liquid Propane Gas Grill with Sear and Side Burner with Cover, 71,000 BTU Cabinet Style Gas Grill""",SG6002RC,1,Outdoors,Outdoor Cooking,Grills,OUTDOOR SEASONAL,389.99,389.99,Royal Gourmet,106.7,106.7,"810001891343,"
Maharaja Walnut Brown Wood Hand-Carved Arm Chair,ISA-1108,1,Furniture,Living Room Furniture,Chairs,OUTDOOR SEASONAL,389.35,389.35,Home Decorators Collection,31.4,31.4,"811026030366,"
"Outdoor Metal Porch Swings with Adjustable PC Canopy, Cushions, Foldable Cup Holders and Pillows, Wine Red",YA2019RD,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,389.19,389.19,NOBLEMOOD,110.44,110.44,"037936376527,"
2-Piece Patio Swivel Wicker Outdoor Rocking Chairs with Royal Blue Cushion and Side Table Sets for Porch Deck (Set of 2),ODF528883301,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,385.38,385.38,Uixe,89,89,"784548557539,"
40 in. Digital Charcoal Smoker in Gray,MB20060321,1,Outdoors,Outdoor Cooking,Grills,OUTDOOR SEASONAL,382.31,382.31,Masterbuilt,97,97,"094428276635,"
10 ft. x 13 ft. Dark Grey Aluminum Outdoor Patio Pergola with Retractable Sun Shade Canopy Cover,PG0202-02-6,1,Storage & Organization,Outdoor Storage,Shade Structures,OUTDOOR SEASONAL,370,370,VEIKOUS,92.59,92.59,"774638487129,"
Denali Gray 4-Piece 4-Seat Wicker Modern Outdoor Patio Conversation Sofa Seating Set with Dark Gray Cushions,GNDS204,1,Outdoors,Patio Furniture,Outdoor Lounge Furniture,OUTDOOR SEASONAL,370,370,Toject,200,200,"709688729189,"
"5-Pieces Wicker Patio Furniture Set Outdoor Patio Chairs with Ottomans, Gray Cushions",BT-JDH5-WH3,1,Outdoors,Patio Furniture,Outdoor Lounge Furniture,OUTDOOR SEASONAL,360.49,360.49,PamaPic,200,200,"615967048691,"
68 in. Freestanding Fireplace TV Stand for TVs Up to 75 in. with 36 in. Electric Fireplace Insert in Black,MD-BBJ01061-68-,1,"Heating, Venting & Cooling",Fireplaces,Electric Fireplaces,OUTDOOR SEASONAL,358.68,358.68,IHOMEadore,136.3,136.3,"698596430112,"
3-Seat Brown Wicker Outdoor Couch Patio Sofa with Thick Beige Cushions,MA06-BGE-A1-2HD,1,Outdoors,Patio Furniture,Outdoor Lounge Furniture,OUTDOOR SEASONAL,339,339,JOYSIDE,59.62,59.62,"761873073415,"
6 ft. x 6 ft. x 7 ft. Aluminum Polycarbonate Portable Walk-In Garden Greenhouse with Rooftop Vent and UV-Resistant Walls,845-058,1,Outdoors,Garden Center,Greenhouses,OUTDOOR SEASONAL,325.21,325.21,Outsunny,63.88,63.88,"842525103770,"
5-Piece Brown Wicker Patio Conversation Set Outdoor Sectional Sofa Set with Coffee Table and Lake Blue Cushions,1010550912,1,Outdoors,Patio Furniture,Outdoor Lounge Furniture,OUTDOOR SEASONAL,317.99,317.99,UPHA,200,200,"794794188289,"
3-Piece Adjustable Aluminum Outdoor Chaise Lounge in Blue with Aluminum Table Set,PB-LG006BLU-3,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,316.95,316.95,Pellebant,33.3,33.3,"956918671231,"
"""26 ft. W x 6.6 ft. D Outdoor Storage Metal Shed, Chicken Coop with Waterproof &amp; Anti-Ultraviolet Cover (171.6 sq. ft. )""",HW-YQHDRA042,1,Storage & Organization,Outdoor Storage,Sheds,OUTDOOR SEASONAL,315.87,315.87,Tileon,97,97,"769047412961,"
24 in. x 24 in. x 6 in. 10-Piece Deep Seating Water & Fade Resistant Outdoor Lounge Chair Replacement Cushion Set in Red,T5-ZBDJH006-5,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,309.99,309.99,Opohoro,200,200,"753763961605,"
24 in. x 24 in. x 6 in. 10-Piece Deep Seating Water & Fade Resistant Outdoor Lounge Chair Replacement Cushion Set in Red,T5-ZBDJH006-5,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,309.99,309.99,Opohoro,200,200,"753763961605,"
Heavy-duty Outdoor Barrel Charcoal Grill in Black,THD-E02GR005,1,Outdoors,Outdoor Cooking,Grills,OUTDOOR SEASONAL,297.78,297.78,PHI VILLA,93.89,93.89,"670724005768,"
Stamford Grey 3-Piece Wood Outdoor Patio Bistro Set with Cross-Legged Table,53199,1,Outdoors,Patio Furniture,Patio Dining Furniture,OUTDOOR SEASONAL,294.48,294.48,Noble House,92.6,92.6,"840006772989,"
Augusta Beige King Upholstery Headboard,MP116-0354,1,Furniture,Bedroom Furniture,Headboards,OUTDOOR SEASONAL,291.1,291.1,Madison Park,37.44,37.44,"675716942243,"
