Item #,Brand,Item Description,Color,Qty,Unit Retail,Ext. Retail,Image URL,Category,Pallet ID,Department
K88999,Kuhn Rikon,Kuhn Rikon Handheld Ratchet Grater w/ 2,Blue,429,33,14157,http://images-p.qvc.com/is/image/k/99/k88999.001?wid=500,Kitchen Tools & Accessories - CPC,001S2009999999161787FS-,Cooking & Dining
K61162,Temp-tations,Temp-tations 14-oz Ceramic Mug with,Grey Damask,141,53,7473,http://images-p.qvc.com/is/image/k/62/k61162.001?wid=500,Tabletop & Bar - CPC,001S2009999998881897FS-,Cooking & Dining
H263527,Temp-tations,Temp-tations Seasonal Set of (4) Printed,Snowflake,74,40,2960,http://images-p.qvc.com/is/image/h/27/h263527.001?wid=500,Tabletop & Bar - CPC,001S2009999998877577FS-,Cooking & Dining
H440437,Temp-tations,"Temp-tations Seasonal Set of (12) 6"" Plates w/",Winter Woodland,98,28,2744,http://images-p.qvc.com/is/image/h/37/h440437.001?wid=500,Tabletop & Bar - CPC,001S2009999999080656FS-,Cooking & Dining
K89560,Dash,Dash Set of 4 Round Treat Makers,Aqua,108,22,2376,http://images-p.qvc.com/is/image/k/60/k89560.001?wid=500,Kitchen Tools & Accessories - CPC,001S2009999999131359FS-,Cooking & Dining
K64313,Temp-tations,Temp-tations Classic Wire Indoor/Outdoor,White,17,59,1003,http://images-p.qvc.com/is/image/k/13/k64313.001?wid=500,Storage & Organization - CPC,001S2009999998812634FS-,Cooking & Dining
