sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
89234,60094,0,0,0,1484.46,,
89235,60097,0,0,0,1012.41,,
89236,60400,28,16,12,8.26,,
89237,60401,11,5,6,9.4,,
89238,60402,9,6,3,12.17,,
89239,60404,11,8,3,16.03,,
89240,60406,10,7,3,21.56,,
89241,61040,2,0,2,399.43,,
89242,61041,0,0,0,399.43,,
89243,61042,0,0,0,399.43,,
89244,61043,2,2,0,399.43,,
89245,61044,0,0,0,380.06,,
89246,61050,0,0,0,498.94,,
89247,61051,0,0,0,499.65,,
89248,61052,0,0,0,499.65,,
89249,61053,0,0,0,499.65,,
89250,61054,0,0,0,483.55,,
89251,RC121012VEDC,0,0,0,3134.71,4263.2,
89254,62318,0,0,0,13.01,,
89255,63034,0,0,0,657.3,,
89256,63037,0,0,0,882.25,,
89257,63056,0,0,0,720.46,,
89258,63057,0,0,0,656.34,,
89259,63058,0,0,0,300.53,,
89260,63059,0,0,0,247.01,,
89261,63060,0,0,0,949.96,,
89262,63061,0,0,0,553.39,,
89263,63070,0,0,0,602.06,,
89264,63071,0,0,0,522.09,,
89265,63075,0,0,0,349.43,,
89266,63100,0,0,0,116.93,,
89267,63102,0,0,0,70.98,,
89268,63104,0,0,0,372.94,,
89269,63106,0,0,0,214.46,,
89270,63108,0,0,0,134.65,,
89271,63109,0,0,0,338.26,,
89272,63110,0,0,0,201.53,,
89273,63111,0,0,0,22.94,,
89274,63112,0,0,0,28.66,,
89275,63201,0,0,0,65.99,,
89276,63202,1,0,1,45.54,,
89277,63203,0,0,0,30.94,,
89278,63204,0,0,0,46.48,,
89279,63205,0,0,0,63.55,,
89280,63206,0,0,0,120.46,,
89281,63207,0,0,0,43.26,,
89282,63404,0,0,0,28.78,,
89283,63405,0,0,0,33.4,,
89284,63406,0,0,0,69.08,,
89285,63515,0,0,0,1076.33,,
89286,63516,0,0,0,880.64,,
89287,63518,0,0,0,556.69,,
89288,60455-TO,0,0,0,165.81,,
89289,60456-TO,0,0,0,234.89,,
89290,60457-TO,0,0,0,335.09,,
89291,TK-71000,0,0,0,11.27,,
89292,TK-81000,0,0,0,7.7,,
89293,TK-91000,0,0,0,7.7,,
89294,FLMBPS/BKV2,0,0,0,48.86,,81.95
89295,FLMBPS/WHV2,0,0,0,48.86,,81.95
89296,87240,4,0,4,134.84,,
89297,87241,0,0,0,136.09,,
89298,87242,0,0,0,134.84,,
89299,87243,0,0,0,134.84,,
89300,87271,0,0,0,144.53,,
89301,97240,0,0,0,139.55,,
89302,2141,4,2,2,189.35,284.95,
89303,97241,0,0,0,139.55,,
89304,97242,0,0,0,139.55,,
89305,97243,0,0,0,139.55,,
89307,97271,0,0,0,149.59,,
89308,6502001030,0,0,0,23.88,,
89309,120-121244,10,7,3,33.32,,
89310,120-578840,4,4,0,4.4,,
89311,120-582182,0,0,0,6.35,,
89312,120-143451,3,2,1,6.35,,
89314,100R,10,5,5,6.03,,
89323,GM-ME300X1C,4,4,0,149.99,,
89334,103-141631,0,0,0,249.92,286.99,
89335,103-141709,0,0,0,443.93,508.99,
89336,105-105213,2,2,0,118.47,167.99,
89337,103-142034,0,0,0,101.94,116.99,
89338,120-577348,0,0,0,6.84,,
89339,120-144090,2,1,1,6.39,,
89340,120-144243,0,0,0,6.35,,
89361,996276471,3,3,0,117.72,,
89362,114-115014,0,0,0,231.82,265.99,
89364,105-105275,0,0,0,89.32,126.99,
89365,120-580805,0,0,0,6.84,,
89366,120-143383,3,3,0,7.99,,
89367,120-141730,5,5,0,5.49,,
89368,120-143376,0,0,0,10.27,,
89369,120-577201,0,0,0,32.71,,
89370,120-141532,10,5,5,44.41,,
89371,120-141754,0,0,0,6.39,,
89372,120-103042,1,1,0,28.8,,
89373,120-142065,0,0,0,30.27,,
89374,120-516620,42,24,18,7.32,,
89375,120-151333,3,1,2,23.99,,
89376,120-143369,0,0,0,6.84,,
89377,120-143512,0,0,0,8.92,,
89378,120-577256,0,0,0,6.84,,
89379,7555-3,10,6,4,10.89,,
89380,193415,3,3,0,1.85,,
89383,1979310,1,1,0,668.43,,
89403,PMP482305100,0,0,0,947.37,,1168.75
89404,010-12827-02,0,0,0,56.24,,
89406,APL18904S2,9,4,5,16.99,,
89411,385311520,2,1,1,40.32,,
89412,385311521,3,2,1,40.32,,
89416,2000037884,2,2,0,139.41,,
89417,GP1200-20,1,1,0,363.62,,
89420,000-197-069-10,1,1,0,90.91,,
89422,9636,1,0,1,51.06,,
89424,A2K-SCREWCAP-10-F,10,0,10,16.43,,
89427,DCCIG09,3,2,1,13.45,,
89429,MC-618-VL-01,1,0,1,437.09,535.0,
89430,CS2579402,3,2,1,28.56,,
89433,321913,9,0,9,7.93,18.99,
89434,321933,1,1,0,8.12,18.99,
89436,SP-4000-ADJ-RB,13,8,5,47.43,,
89451,88447,1,0,1,81.51,118.99,
89452,AK3714,8,6,2,41.93,,
89453,BP185G15,0,0,0,201.88,258.4,
89455,77040600,6,4,2,30.94,,
89456,S-0213,3,0,3,7.66,,
89457,010-02667-00,3,1,2,314.99,,
89458,MC-618,2,0,2,252.05,309.0,
89460,SBR-41LI,35,3,32,36.0,,
89468,76-0201,3,0,3,15.69,26.99,
89469,76-0300,0,0,0,12.74,21.99,
89470,76-0600,0,0,0,16.67,27.99,
89471,V-BATT-TML,0,0,0,18.44,30.99,
89474,049300499D,5,3,2,46.92,,
89475,049300599D,3,2,1,57.89,,
89476,049300799D,4,3,1,78.1,,
89477,049300899D,0,0,0,110.15,,
89478,049300999D,1,0,1,143.18,,
89479,049301099D,2,2,0,158.61,,
89484,VBTPN,3,2,1,21.1,32.99,
89486,31-6257-00,0,0,0,12.74,,
89487,VFDB2,0,0,0,19.19,29.99,
89488,VFDB4,6,3,3,24.79,38.99,
89489,VPNB2,8,3,5,17.94,27.99,
89490,VPNB4,0,0,0,30.93,48.99,
89491,VDB2,3,3,0,17.37,27.99,
89492,VDB4,4,2,2,17.94,27.99,
89509,01-0380-05,6,1,5,1030.4,,
89520,71082,7,5,2,192.64,,
89523,15001C,0,0,0,62.67,,
89524,15002C,0,0,0,57.84,,
89526,15003C,0,0,0,56.64,,
89528,15004C,0,0,0,56.64,,
89529,HYCO 1.1,0,0,0,681.42,,
89530,15005C,0,0,0,56.64,,
89531,15006C,0,0,0,53.63,,
89532,15007C,0,0,0,46.76,,
89533,15008,0,0,0,46.4,,
89534,15009,0,0,0,44.59,,
89535,15012,0,0,0,57.84,,
89542,15013,0,0,0,36.16,,
89543,15017C,0,0,0,57.84,,
89544,15021C,0,0,0,68.69,,
89545,15022C,0,0,0,62.67,,
89546,HYTECH 1.1,3,2,1,694.24,,
89547,15023C,0,0,0,57.84,,
89548,15025,0,0,0,112.07,,
89549,15103C,0,0,0,79.41,,
89550,PROTECH 1.1,3,1,2,944.86,,
89553,15106C,0,0,0,51.79,,
89555,15108C,0,0,0,54.19,,
89556,15109C,0,0,0,47.0,,
89557,PROTECH 2.1,1,1,0,944.86,,
89559,15144,0,0,0,248.23,,
89560,15146,0,0,0,260.29,,
89561,15147,5,3,2,170.51,,
89562,15411,0,0,0,39.17,,
89563,15412,0,0,0,61.91,,
89564,ALLOY-X,0,0,0,39.39,62.99,
89565,V12-CBF200,0,0,0,34.31,53.99,
89566,V12-CBF100,0,0,0,34.31,53.99,
89567,V12-CBF180,0,0,0,34.31,53.99,
89568,V12-CBF140,0,0,0,34.31,53.99,
89569,V8-ANL80,0,0,0,3.64,5.99,
89570,V8-ANL100,0,0,0,3.64,5.99,
89571,V8-ANL150,4,2,2,3.64,5.99,
89572,V8-ANL200,2,2,0,3.64,5.99,
89573,V8-ANL250,5,5,0,3.64,5.99,
89574,V8-ANL300,1,1,0,3.99,6.99,
89575,VANL,6,2,4,15.57,24.99,
89576,VMANL,3,1,2,7.2,11.99,
89577,VAGU,0,0,0,7.2,11.99,
89578,VANL1,0,0,0,16.3,25.99,
89579,VMANL1,0,0,0,13.99,21.99,
89580,VDMANL,0,0,0,20.3,31.99,
89581,VR04,0,0,0,9.3,14.99,
89582,VR48,0,0,0,10.44,16.99,
89583,V8-AGU40,1,0,1,4.52,6.99,
89584,V8-AGU60,0,0,0,4.52,6.99,
89585,V8-AGU50,0,0,0,4.2,6.99,
89586,V10-2041,0,0,0,130.55,217.99,
89587,V10-1041,0,0,0,82.99,,
89588,V10-D104K,0,0,0,92.6,154.99,
89589,V10-D108K,0,0,0,59.76,,
89590,12001C,0,0,0,62.67,,
89591,12002C,0,0,0,57.84,,
89592,12003C,0,0,0,56.64,,
89593,12004C,0,0,0,56.64,,
89596,12007C,1,0,1,32.99,,
89597,12008,0,0,0,46.4,,
89600,12013,0,0,0,36.16,,
89602,12025,0,0,0,112.07,,
89603,12103C,0,0,0,79.41,,
89609,12144,0,0,0,248.23,,
89610,12147,0,0,0,170.51,,
89611,RS11,0,0,0,352.94,,
89612,SCC125070221,0,0,0,387.91,,478.55
89634,14001C,0,0,0,75.91,,
89635,14002C,0,0,0,74.71,,
89636,14003C,0,0,0,69.9,,
89637,15843,296,215,81,4.83,,
89638,14004C,0,0,0,56.64,,
89639,14006C,0,0,0,48.06,,
89640,14007C,0,0,0,46.76,,
89641,14008,0,0,0,51.83,,
89642,14009,0,0,0,44.59,,
89643,14013,0,0,0,36.16,,
89647,14106C,0,0,0,58.77,,
89648,14107C,0,0,0,56.64,,
89649,14144,0,0,0,291.61,,
89650,14147,0,0,0,199.43,,
89653,24451,11,6,5,4.83,,
