sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
10020,2228,0,0,0,5.33,,
10021,6001,0,0,0,86.60,,
10024,6003,0,0,0,86.60,,
10025,1928.3,6,3,3,159.66,,
10026,6002,2,0,2,47.64,,
10027,1927.3,3,1,2,361.89,,
10030,9283.3,0,0,0,414.85,,
10341,X-10-M,5,3,2,35.00,,
10342,SS-1002,6,3,3,256.12,,
10345,SS-2000,6,5,1,441.77,,
10348,FN-201,3,2,1,372.82,,
10349,BN-202,4,1,3,430.96,,
10350,SP-5-B,0,0,0,909.95,,
10351,F-50,13,8,5,76.33,,
10352,SS-5000,1,0,1,749.00,,
10353,F-50W,5,3,2,76.33,,
10354,B-51,10,6,4,75.06,,
10355,S-53,3,0,3,75.06,,
10357,V-57W.2,6,3,3,78.24,,
10360,HF-742,3,2,1,226.19,,
10361,HF-743,5,3,2,226.19,,
10366,B-80,4,2,2,149.99,,
10367,B-81,4,2,2,161.89,,
10368,F-82,3,1,2,154.91,,
10369,F-83,16,10,6,154.91,,
10373,RU-90,3,1,2,138.67,,
10374,DNB-200,0,0,0,540.16,,
10377,DNP-200,0,0,0,540.16,,
10378,YB-500,0,0,0,1215.89,,
10391,220SW,9,7,2,33.33,,
10394,MMB-84,37,14,23,12.00,,
10442,SP-80-3,1,1,0,3026.80,,
10446,SRA-1,1,1,0,630.00,,
10472,SP-70-3,0,0,0,2606.80,,
10532,X-11Y,3,2,1,47.02,,
10533,FNW-201,1,1,0,321.99,,
10534,HF-742W,4,2,2,226.19,,
10535,HF-743W,7,3,4,226.19,,
10536,F-82W,5,3,2,154.91,,
10537,F-83W,3,1,2,154.91,,
10539,RA-91,2,1,1,75.06,,
10540,RA-93,9,6,3,75.06,,
10541,BN-C,8,4,4,28.50,,
10545,LL-C,0,0,0,34.29,,
10548,N-203-C,10,6,4,26.40,,
10549,NC-20,4,3,1,31.00,,
10550,GM-5-C,4,2,2,54.96,,
10552,010-10117-02,0,0,0,11.71,,
10563,010-10085-00,10,4,6,22.49,,
10578,010-10083-00,17,7,10,22.49,,
10595,390,0,0,0,534.99,,
10596,393,0,0,0,355.29,,
10597,396-1,6,2,4,141.19,,
10599,399-1M,8,5,3,264.44,,
10601,4018,0,0,0,572.75,,
10602,4018-M,0,0,0,528.91,,
10609,4351,6,5,1,74.46,,
10612,476,0,0,0,1150.24,,
10618,5018,4,4,0,558.56,,
10627,5206-N,244,128,116,69.04,,
10631,5215,8,7,1,61.55,,
10632,5215-C-X,12,7,5,128.92,,
10636,5225-XT,16,16,0,175.63,,
10637,5226-XT,2,2,0,175.63,,
10640,5230,5,1,4,454.75,,
10648,5911,3,3,0,59.73,,
10658,408-R,9,6,3,17.40,,
10660,410-R,6,0,6,74.45,,
10661,4186-BP,16,14,2,11.01,,
10662,4186-U,13,2,11,11.01,,
10663,4187,47,44,3,44.12,,
10668,4352,0,0,0,36.46,,
10673,4365,16,10,6,21.19,,
10679,5228,8,5,3,204.97,,
10680,5228-4,6,1,5,138.04,,
10682,81-S,0,0,0,59.51,,
10840,2100,6,2,4,56.83,,
10841,2101,6,3,3,48.97,,
10842,2300A,23,12,11,131.49,,
10844,2303A,28,12,16,178.83,,
10850,84-2056-01,12,7,5,138.79,,
11049,483,0,0,0,124.99,,
11123,740011-1,0,0,0,24.14,,
11188,SPC-15RP,10,7,3,22.86,,
11196,SPC-40RP,15,5,10,30.00,,
11197,SPC-5P,1,1,0,14.67,,
11221,MA4054W,93,48,45,24.99,,
